Date Reported,Date Occurred,Month,Day,Year,Time Occurred,Hour,Area ID,Area Name,Location ,Latitude,Longitude,Description,Classified Crime Type
2/4/2014,1/1/2012,1,1,2012,1,0,12,77th Street,"(33.9817, -118.3294)",34.1558,-118.3294,SEXUAL ASSAULT,Sexual Assault
2/28/2014,1/1/2012,1,1,2012,1800,18,12,77th Street,"(33.9867, -118.3002)",34.2067,-118.3002,SEXUAL ASSAULT,Sexual Assault
7/1/2014,6/1/2012,6,1,2012,2300,23,12,77th Street,"(33.9897, -118.2915)",34.2612,-118.2915,SEXUAL ASSAULT,Sexual Assault
8/7/2015,3/1/2012,3,1,2012,1000,10,12,77th Street,"(33.9829, -118.3338)",34.2671,-118.3338,SEXUAL ASSAULT,Sexual Assault
12/19/2015,12/1/2012,12,1,2012,1,0,12,77th Street,"(33.9657, -118.2827)",34.2489,-118.2827,SEXUAL ASSAULT,Sexual Assault
3/11/2016,1/1/2012,1,1,2012,1,0,12,77th Street,"(33.9924, -118.3068)",34.2175,-118.3068,SEXUAL ASSAULT,Sexual Assault
3/5/2015,1/1/2012,1,1,2012,800,8,13,Newton,"(34.0092, -118.2728)",33.9383,-118.2728,SEXUAL ASSAULT,Sexual Assault
6/12/2015,2/1/2012,2,1,2012,1,0,13,Newton,"(34.0039, -118.2588)",33.9456,-118.2588,SEXUAL ASSAULT,Sexual Assault
7/5/2015,4/1/2012,4,1,2012,1200,12,13,Newton,"(33.9989, -118.2565)",33.8762,-118.2565,SEXUAL ASSAULT,Sexual Assault
4/26/2016,6/21/2012,6,21,2012,1200,12,13,Newton,"(33.9953, -118.2701)",33.9601,-118.2701,SEXUAL ASSAULT,Sexual Assault
1/7/2013,10/15/2012,10,15,2012,1500,15,14,Pacific,"(33.9597, -118.4353)",33.9374,-118.4353,SEXUAL ASSAULT,Sexual Assault
1/23/2013,10/19/2012,10,19,2012,230,2,14,Pacific,"(33.9677, -118.423)",33.9542,-118.423,SEXUAL ASSAULT,Sexual Assault
10/8/2013,10/1/2012,10,1,2012,2200,22,14,Pacific,"(34.0078, -118.448)",33.9383,-118.448,SEXUAL ASSAULT,Sexual Assault
11/14/2013,2/1/2012,2,1,2012,2000,20,14,Pacific,"(33.9677, -118.423)",33.9572,-118.423,SEXUAL ASSAULT,Sexual Assault
4/29/2014,6/15/2012,6,15,2012,2330,23,14,Pacific,"(33.9598, -118.4307)",33.9501,-118.4307,SEXUAL ASSAULT,Sexual Assault
5/2/2014,1/5/2012,1,5,2012,1600,16,14,Pacific,"(33.9932, -118.4094)",33.9325,-118.4094,SEXUAL ASSAULT,Sexual Assault
3/29/2016,5/1/2012,5,1,2012,1,0,14,Pacific,"(33.9598, -118.4136)",33.9533,-118.4136,SEXUAL ASSAULT,Sexual Assault
1/17/2013,11/24/2012,11,24,2012,2100,21,15,N Hollywood,"(34.1959, -118.3954)",33.933,-118.3954,SEXUAL ASSAULT,Sexual Assault
2/13/2013,5/28/2012,5,28,2012,130,1,15,N Hollywood,"(34.1922, -118.4008)",33.9565,-118.4008,SEXUAL ASSAULT,Sexual Assault
3/1/2013,4/1/2012,4,1,2012,1,0,15,N Hollywood,"(34.2012, -118.3855)",33.9237,-118.3855,SEXUAL ASSAULT,Sexual Assault
9/20/2013,1/1/2012,1,1,2012,1300,13,15,N Hollywood,"(34.1681, -118.379)",34.2339,-118.379,SEXUAL ASSAULT,Sexual Assault
8/14/2015,8/1/2012,8,1,2012,1,0,15,N Hollywood,"(0, 0)",34.3248,0,SEXUAL ASSAULT,Sexual Assault
4/5/2016,6/6/2012,6,6,2012,2230,22,15,N Hollywood,"(34.1205, -118.3433)",34.2428,-118.3433,SEXUAL ASSAULT,Sexual Assault
2/25/2013,12/21/2012,12,21,2012,1400,14,16,Foothill,"(34.285, -118.4135)",34.3183,-118.4135,SEXUAL ASSAULT,Sexual Assault
5/7/2013,11/30/2012,11,30,2012,1600,16,16,Foothill,"(34.2194, -118.391)",34.0704,-118.391,SEXUAL ASSAULT,Sexual Assault
11/12/2013,1/1/2012,1,1,2012,1,0,16,Foothill,"(34.1511, -118.7668)",34.0737,-118.7668,SEXUAL ASSAULT,Sexual Assault
11/18/2013,6/1/2012,6,1,2012,800,8,16,Foothill,"(34.2511, -118.4137)",34.0388,-118.4137,SEXUAL ASSAULT,Sexual Assault
7/9/2014,9/1/2012,9,1,2012,1200,12,16,Foothill,"(34.2469, -118.4195)",34.0617,-118.4195,SEXUAL ASSAULT,Sexual Assault
6/11/2015,1/1/2012,1,1,2012,1200,12,16,Foothill,"(34.2523, -118.2859)",34.0835,-118.2859,SEXUAL ASSAULT,Sexual Assault
1/2/2013,12/29/2012,12,29,2012,1900,19,17,Devonshire,"(34.272, -118.5022)",34.1973,-118.5022,SEXUAL ASSAULT,Sexual Assault
4/4/2013,11/5/2012,11,5,2012,1030,10,17,Devonshire,"(34.2647, -118.4891)",34.1912,-118.4891,SEXUAL ASSAULT,Sexual Assault
6/13/2013,10/21/2012,10,21,2012,2000,20,17,Devonshire,"(34.2429, -118.4806)",34.1938,-118.4806,SEXUAL ASSAULT,Sexual Assault
9/9/2014,3/15/2012,3,15,2012,2130,21,17,Devonshire,"(34.2522, -118.6048)",34.1811,-118.6048,SEXUAL ASSAULT,Sexual Assault
1/4/2013,11/21/2012,11,21,2012,1200,12,18,Southeast,"(33.9506, -118.243)",34.1926,-118.243,SEXUAL ASSAULT,Sexual Assault
2/8/2013,10/3/2012,10,3,2012,2145,21,18,Southeast,"(33.8762, -118.286)",34.0306,-118.286,ROBBERY FROM STREET,Sexual Assault
1/9/2014,1/1/2012,1,1,2012,1,0,18,Southeast,"(33.9306, -118.2335)",34.0431,-118.2335,ROBBERY FROM STREET,Sexual Assault
10/28/2014,8/1/2012,8,1,2012,1800,18,18,Southeast,"(33.9449, -118.2367)",34.0446,-118.2367,ROBBERY FROM STREET,Sexual Assault
4/1/2015,1/1/2012,1,1,2012,1200,12,18,Southeast,"(33.931, -118.251)",34.0435,-118.251,ROBBERY FROM STREET,Sexual Assault
5/7/2015,1/12/2012,1,12,2012,1,0,18,Southeast,"(33.9383, -118.2674)",34.0423,-118.2674,ROBBERY FROM STREET,Sexual Assault
7/10/2015,6/1/2012,6,1,2012,1,0,18,Southeast,"(33.9492, -118.2869)",34.0415,-118.2869,ROBBERY FROM STREET,Sexual Assault
